d,sampling,method,N,n_evals,mean_est,std_est,abs_error,relative_error,reference_value,reference_type
2,direct,mc_standard,500,500,1.5905915766107372,0.04783664576623536,0.019795249815840688,0.012602047431719906,1.5707963267948966,analytic radial reference for d=2
2,direct,mc_standard,1000,1000,1.5707766252053144,0.02062319437847453,1.9701589582199475e-05,1.2542421475099341e-05,1.5707963267948966,analytic radial reference for d=2
2,direct,mc_standard,2000,2000,1.574930052302616,0.02557279988060855,0.004133725507719399,0.0026316113917543888,1.5707963267948966,analytic radial reference for d=2
2,direct,mc_standard,5000,5000,1.5708009864793555,0.015404025401338542,4.659684458951929e-06,2.9664472595627336e-06,1.5707963267948966,analytic radial reference for d=2
2,direct,mc_symmetrized,500,2000,1.5543080963002451,0.041495155063394434,0.016488230494651424,0.010496733544249202,1.5707963267948966,analytic radial reference for d=2
2,direct,mc_symmetrized,1000,4000,1.5753045197222983,0.022229872751225187,0.0045081929274017885,0.002870004755231667,1.5707963267948966,analytic radial reference for d=2
2,direct,mc_symmetrized,2000,8000,1.5775218928692074,0.012798116134225714,0.006725566074310851,0.004281628343270902,1.5707963267948966,analytic radial reference for d=2
2,direct,mc_symmetrized,5000,20000,1.5759359523779533,0.014955817856615013,0.005139625583056695,0.003271987268740151,1.5707963267948966,analytic radial reference for d=2
2,rejection,mc_standard,500,500,1.5714905331181817,0.05025630199623929,0.0006942063232850959,0.00044194547150589337,1.5707963267948966,analytic radial reference for d=2
2,rejection,mc_standard,1000,1000,1.5688055614692018,0.025879629999998693,0.0019907653256947544,0.0012673605684810686,1.5707963267948966,analytic radial reference for d=2
2,rejection,mc_standard,2000,2000,1.5708124498103166,0.015824391978835835,1.612301542008865e-05,1.026423040661584e-05,1.5707963267948966,analytic radial reference for d=2
2,rejection,mc_standard,5000,5000,1.5724968323112412,0.01068601572442353,0.001700505516344597,0.0010825754347251137,1.5707963267948966,analytic radial reference for d=2
2,rejection,mc_symmetrized,500,2000,1.5556580161118359,0.035697682286924166,0.015138310683060707,0.009637347901079833,1.5707963267948966,analytic radial reference for d=2
2,rejection,mc_symmetrized,1000,4000,1.5690140624895497,0.03240164020940994,0.0017822643053468923,0.001134624696368804,1.5707963267948966,analytic radial reference for d=2
2,rejection,mc_symmetrized,2000,8000,1.5812390768842566,0.018775538131661402,0.01044275008936002,0.006648061184779916,1.5707963267948966,analytic radial reference for d=2
2,rejection,mc_symmetrized,5000,20000,1.5575992926202138,0.009756999201699335,0.013197034174682765,0.008401492892213733,1.5707963267948966,analytic radial reference for d=2
3,direct,mc_standard,500,500,6.447685939254413,0.15038146083807083,0.18120938252333207,0.027336286625014184,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,direct,mc_standard,1000,1000,6.510616770376816,0.0912221713806685,0.11827855140092858,0.017842875118626627,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,direct,mc_standard,2000,2000,6.450826280451357,0.05405661002872093,0.17806904132638746,0.026862551403004007,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,direct,mc_standard,5000,5000,6.41340986811458,0.05184522126872048,0.21548545366316496,0.032506992975924055,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,direct,mc_symmetrized,500,4000,6.410919801099641,0.05342374778626744,0.21797552067810422,0.03288263128277115,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,direct,mc_symmetrized,1000,8000,6.420460776557067,0.03452155302511888,0.20843454522067795,0.03144333031416458,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,direct,mc_symmetrized,2000,16000,6.417863545183043,0.014703948873161584,0.21103177659470163,0.03183513486800797,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,direct,mc_symmetrized,5000,40000,6.416243511290702,0.017176844909055633,0.21265181048704296,0.03207952459113712,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_standard,500,500,6.428949415006511,0.1686798164229426,0.1999459067712337,0.0301627793267992,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_standard,1000,1000,6.435092686458118,0.10853465658694308,0.19380263531962694,0.02923603796894061,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_standard,2000,2000,6.422402772697843,0.047272640576852216,0.20649254907990144,0.031150371073369737,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_standard,5000,5000,6.419355880570889,0.05973466927363797,0.2095394412068563,0.031610009064174174,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_symmetrized,500,4000,6.397892603592827,0.047660222106158424,0.2310027181849179,0.034847845224831114,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_symmetrized,1000,8000,6.43381771484014,0.02428144924056581,0.19507760693760456,0.029428373426975223,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_symmetrized,2000,16000,6.427473862216287,0.02806893889946087,0.20142145956145807,0.030385373396941896,6.628895321777745,deterministic spherical grid (m=80) for d=3
3,rejection,mc_symmetrized,5000,40000,6.42074067449432,0.010995810822933433,0.2081546472834246,0.03140110639544711,6.628895321777745,deterministic spherical grid (m=80) for d=3
4,direct,mc_standard,500,500,3.2826150506809797,0.03769160157679332,0.007253083015472672,0.0022046728685514833,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_standard,1000,1000,3.285150258469519,0.02830845907161004,0.0047178752269334545,0.0014340621068092817,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_standard,2000,2000,3.2798970777938052,0.018540502986999895,0.00997105590264713,0.003030837558660378,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_standard,5000,5000,3.2859684281479415,0.017017710951665113,0.0038997055485108234,0.0011853683460951263,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_symmetrized,500,8000,3.2972693922336225,0.06334208978004989,0.007401258537170108,0.0022497128262870983,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_symmetrized,1000,16000,3.2874945159284508,0.033435370576896425,0.0023736177680016013,0.0007214932853052185,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_symmetrized,2000,32000,3.3079082798415675,0.03652506832198575,0.018040146145115177,0.005483546881511481,3.2898681336964524,analytic radial reference for d=4
4,direct,mc_symmetrized,5000,80000,3.293805033447847,0.01375709862876186,0.003936899751394662,0.0011966740280775978,3.2898681336964524,analytic radial reference for d=4
